,Without IGF,,,With IGF,,,
,GRS test statistic: 3.54,,,GRS test-statistic: 3.68,,,
Portfolio,alpha,Adj. R2,t-stat,alpha,beta (IGF),Adj. R2,t-stat
SMALL LoBM,-0.47,0.91,-5.35,-0.47,-0.06,0.91,-5.29
ME1 BM2,0.02,0.93,0.29,0.02,0,0.93,0.3
ME1 BM3,-0.03,0.95,-0.69,-0.03,0,0.95,-0.69
ME1 BM4,0.14,0.95,2.83,0.15,-0.03,0.95,2.91
SMALL HiBM,0.17,0.91,2.59,0.16,0.03,0.91,2.53
ME2 BM1,-0.18,0.95,-2.79,-0.19,0.03,0.95,-2.87
ME2 BM2,0.02,0.95,0.39,0.01,0.1,0.95,0.14
ME2 BM3,0.05,0.93,0.94,0.04,0.07,0.93,0.77
ME2 BM4,0.05,0.95,1.03,0.04,0.06,0.95,0.87
ME2 BM5,0.01,0.95,0.17,0.01,-0.01,0.95,0.19
ME3 BM1,-0.1,0.95,-1.68,-0.09,-0.1,0.95,-1.51
ME3 BM2,0.07,0.92,1.21,0.06,0.07,0.92,1.06
ME3 BM3,0,0.9,-0.05,-0.02,0.1,0.9,-0.27
ME3 BM4,0.06,0.91,1.12,0.05,0.08,0.92,0.95
ME3 BM5,0.04,0.9,0.54,0.03,0.06,0.9,0.45
ME4 BM1,0.1,0.93,1.65,0.11,-0.07,0.93,1.79
ME4 BM2,-0.04,0.9,-0.6,-0.07,0.25,0.9,-1.13
ME4 BM3,-0.02,0.88,-0.3,-0.04,0.15,0.88,-0.6
ME4 BM4,0.05,0.88,0.7,0.04,0.09,0.89,0.56
ME4 BM5,-0.07,0.88,-0.84,-0.08,0.06,0.88,-0.94
BIG LoBM,0.16,0.94,3.86,0.18,-0.12,0.95,4.33
ME5 BM2,0.02,0.9,0.41,0,0.17,0.91,0
ME5 BM3,0.02,0.86,0.26,-0.01,0.16,0.86,-0.08
ME5 BM4,-0.21,0.89,-3.24,-0.22,0.1,0.89,-3.47
BIG HiBM,-0.18,0.8,-1.88,-0.16,-0.16,0.81,-1.71
